gene_name,PageRank0h,PageRank16h,Ratio
CSTF2,0.000174139,0.000173257,0.99
AP4S1,5.16E-05,5.13E-05,0.99
MOCS2,2.48E-05,2.46E-05,0.99
GLA,6.60E-05,6.57E-05,0.99
PSMA6,0.000351444,0.000349638,0.99
RFC2,0.000139886,0.000139167,0.99
ZBTB25,4.22E-05,4.20E-05,0.99
ATP6V1E1,0.000160979,0.000160147,0.99
NKAP,0.000125859,0.000125208,0.99
ATP7A,6.70E-05,6.67E-05,0.99
SLAMF6,2.12E-05,2.11E-05,0.99
FAF2,0.000633393,0.000630094,0.99
CAMK2A,0.000191454,0.000190455,0.99
USP12,7.48E-05,7.44E-05,0.99
OTUB1,0.000450199,0.000447836,0.99
NCAPD2,0.000157799,0.00015697,0.99
MAPK8,0.000359663,0.000357771,0.99
PIAS2,0.000147711,0.000146931,0.99
PMF1,0.000147381,0.000146603,0.99
UQCRC1,0.000148059,0.000147277,0.99
IKZF1,0.000268904,0.000267484,0.99
SLC25A10,0.000114304,0.000113698,0.99
TOM1,9.30E-05,9.25E-05,0.99
ABHD5,3.70E-05,3.68E-05,0.99
DDX26B,3.14E-05,3.13E-05,0.99
PPP4R1,9.29E-05,9.24E-05,0.99
ADCK4,8.24E-05,8.19E-05,0.99
EXOC1,0.000232741,0.000231495,0.99
PRKAB1,0.000468185,0.000465677,0.99
JUP,0.000349136,0.00034726,0.99
CEP44,0.000243784,0.00024247,0.99
ZRSR2,0.000107668,0.000107088,0.99
YTHDC1,0.000166332,0.000165434,0.99
COG2,7.50E-05,7.46E-05,0.99
RINT1,0.000152178,0.000151354,0.99
ZC3H7B,3.91E-05,3.89E-05,0.99
GBA,0.000124576,0.000123899,0.99
RAB6B,0.000116057,0.000115427,0.99
WDR33,0.000140104,0.000139339,0.99
ATP5B,0.000465037,0.000462491,0.99
EGLN1,7.61E-05,7.57E-05,0.99
SETD3,7.31E-05,7.27E-05,0.99
LRIF1,0.000282361,0.000280812,0.99
RBM17,0.000167115,0.000166198,0.99
MAP2K1,0.000279433,0.000277893,0.99
KIAA1429,7.98E-05,7.93E-05,0.99
EPB41L3,0.000211409,0.000210239,0.99
TBC1D15,0.000143411,0.000142615,0.99
CASP3,0.00024452,0.00024316,0.99
LRSAM1,0.000101349,0.000100784,0.99
PPP2R5D,0.000151596,0.000150749,0.99
ZFPM1,3.87E-05,3.85E-05,0.99
MSH2,0.000283429,0.000281837,0.99
PRDX1,0.000368,0.000365929,0.99
KLC2,0.000171108,0.000170145,0.99
BUB3,0.000232419,0.00023111,0.99
TPR,0.000221948,0.000220691,0.99
NSFL1C,0.000217324,0.000216092,0.99
TCF4,0.000341845,0.000339906,0.99
HELZ,0.000124396,0.000123688,0.99
HAUS2,0.000201843,0.000200694,0.99
ANKS1A,7.85E-05,7.80E-05,0.99
MITD1,4.19E-05,4.17E-05,0.99
COPS3,0.000196429,0.000195302,0.99
NCOA5,0.0001099,0.000109269,0.99
UBOX5,4.31E-05,4.28E-05,0.99
SDHA,0.000510714,0.000507764,0.99
ERBB2IP,0.000152548,0.000151666,0.99
NFATC2,0.000438869,0.000436332,0.99
CLASRP,9.14E-05,9.09E-05,0.99
NUDT19,3.05E-05,3.03E-05,0.99
PRRC1,8.41E-05,8.36E-05,0.99
TRAPPC5,0.000187942,0.000186849,0.99
CSTF1,0.000113451,0.000112787,0.99
POLR2I,9.99E-05,9.93E-05,0.99
ZZZ3,8.31E-05,8.26E-05,0.99
ZMAT2,8.61E-05,8.56E-05,0.99
RIT1,2.55E-05,2.54E-05,0.99
ITM2B,0.001045367,0.001039209,0.99
ATXN3,0.000317766,0.00031589,0.99
CDC42EP4,3.56E-05,3.54E-05,0.99
INTS4,9.55E-05,9.49E-05,0.99
UBE2I,0.000829345,0.000824415,0.99
STYX,0.000119985,0.000119271,0.99
CPSF3,0.000134171,0.000133372,0.99
PTP4A1,0.000150941,0.000150041,0.99
PQBP1,0.000130051,0.00012927,0.99
DLST,0.000592423,0.000588862,0.99
AP2M1,0.000438399,0.000435762,0.99
TOMM34,0.00011903,0.000118313,0.99
STAT3,0.000475453,0.000472587,0.99
SLK,7.76E-05,7.71E-05,0.99
MTCH2,0.000306141,0.000304289,0.99
PATZ1,6.16E-05,6.12E-05,0.99
ACO2,0.000312781,0.000310882,0.99
MSH6,0.000208715,0.000207447,0.99
MED23,0.000453266,0.000450513,0.99
CD226,2.18E-05,2.17E-05,0.99
METTL8,3.62E-05,3.59E-05,0.99
SKIL,0.000159479,0.000158506,0.99
PNN,0.000247688,0.000246175,0.99
RAD17,8.43E-05,8.37E-05,0.99
AGO2,0.000276937,0.000275243,0.99
N4BP2L2,6.26E-05,6.22E-05,0.99
ARRB2,0.000755584,0.000750957,0.99
TMEM115,1.51E-05,1.50E-05,0.99
TGFBR3,4.53E-05,4.51E-05,0.99
FMR1,0.000590508,0.000586867,0.99
CSRNP1,2.23E-05,2.22E-05,0.99
DCPS,0.000926607,0.000920872,0.99
SERINC1,6.30E-05,6.26E-05,0.99
NONO,0.000414026,0.000411457,0.99
LAMP1,0.000162367,0.00016136,0.99
IRF2BP1,9.34E-05,9.28E-05,0.99
BRAF,0.000334074,0.00033199,0.99
NUP153,0.000271562,0.000269864,0.99
PPP1CC,0.000609766,0.000605948,0.99
MBP,0.000172237,0.000171157,0.99
H2-D1,3.86E-05,3.83E-05,0.99
LRRC47,0.000135239,0.000134388,0.99
KAT6A,8.92E-05,8.86E-05,0.99
ACTN2,0.000136209,0.000135351,0.99
CKAP4,0.00018918,0.000187989,0.99
LAMTOR1,7.95E-05,7.90E-05,0.99
GNB2,0.000296497,0.000294624,0.99
IRF3,0.000201981,0.000200702,0.99
LYSMD2,2.78E-05,2.76E-05,0.99
EWSR1,0.001384102,0.001375333,0.99
RHEB,0.000112786,0.000112071,0.99
LLGL2,0.000192008,0.00019079,0.99
GANAB,0.000257912,0.000256275,0.99
USP24,9.61E-05,9.54E-05,0.99
QRICH1,0.000111007,0.000110301,0.99
PARK7,0.000540991,0.000537548,0.99
LBR,0.000140434,0.00013954,0.99
CALU,0.000276985,0.00027522,0.99
FKBP3,0.00010712,0.000106437,0.99
AXIN1,0.0002233,0.000221874,0.99
PGGT1B,3.53E-05,3.51E-05,0.99
DDX42,0.000112751,0.00011203,0.99
ZCCHC8,0.000132161,0.000131309,0.99
IGBP1,0.000292815,0.000290925,0.99
ACTL6A,0.000347068,0.000344826,0.99
MKRN2,8.12E-05,8.07E-05,0.99
MESDC2,8.17E-05,8.11E-05,0.99
CLTC,0.000694849,0.000690321,0.99
TSG101,0.000364895,0.000362516,0.99
SNAP23,0.000139848,0.000138934,0.99
PARD3,0.000121295,0.000120503,0.99
NFYA,0.000124235,0.00012342,0.99
TBC1D23,3.23E-05,3.21E-05,0.99
LGALS3BP,0.0003108,0.000308758,0.99
WIPI2,8.68E-05,8.63E-05,0.99
MKI67,9.60E-05,9.54E-05,0.99
UHRF2,0.000244464,0.000242855,0.99
MCM3AP,0.000114836,0.000114079,0.99
NUP43,0.000165868,0.000164775,0.99
RAB9A,8.12E-05,8.06E-05,0.99
FEN1,0.000182786,0.000181579,0.99
PCM1,0.000447975,0.000445015,0.99
TMEM65,3.87E-05,3.84E-05,0.99
UBE3A,0.000574723,0.000570906,0.99
KHDRBS3,0.000101636,0.000100958,0.99
CEP55,0.000200149,0.000198813,0.99
SEC31A,0.0002796,0.000277732,0.99
NEDD4,0.000528249,0.00052471,0.99
COPS7B,0.000165002,0.000163896,0.99
RABL3,6.26E-05,6.22E-05,0.99
FANCI,0.000139493,0.000138556,0.99
USP22,0.000166221,0.000165102,0.99
ELAVL1,0.003742151,0.003716959,0.99
SMAD4,0.000317602,0.000315462,0.99
KIF2A,0.000180959,0.000179739,0.99
VDAC1,0.000638915,0.000634603,0.99
MINPP1,6.56E-05,6.52E-05,0.99
PAXIP1,0.000586448,0.000582473,0.99
WDR7,9.97E-05,9.90E-05,0.99
BAG4,0.000175919,0.000174723,0.99
MAST2,5.53E-05,5.49E-05,0.99
GPS1,0.000173141,0.000171962,0.99
INO80,9.03E-05,8.97E-05,0.99
DTX2,8.85E-05,8.79E-05,0.99
VPS72,0.000169192,0.00016803,0.99
KLC1,0.000197708,0.000196344,0.99
RFC3,0.00013218,0.000131267,0.99
TNFRSF14,7.21E-05,7.16E-05,0.99
DDHD1,2.62E-05,2.60E-05,0.99
XRCC1,0.000175333,0.000174117,0.99
B2M,8.34E-05,8.28E-05,0.99
NOTCH1,0.000497148,0.000493663,0.99
SAP18,0.000260876,0.000259045,0.99
ARID4B,8.29E-05,8.23E-05,0.99
PPT1,0.000481653,0.000478253,0.99
YY1,0.000284382,0.000282374,0.99
PSMD9,0.000226773,0.00022517,0.99
KLHL15,8.39E-05,8.33E-05,0.99
GIGYF1,0.000163229,0.000162068,0.99
CTNNBL1,0.000256683,0.000254857,0.99
SLC16A3,2.40E-05,2.39E-05,0.99
SUGP1,0.000142425,0.000141407,0.99
NUPL1,0.000118675,0.000117824,0.99
RB1,0.000426681,0.000423618,0.99
GUK1,4.49E-05,4.46E-05,0.99
TBC1D25,6.57E-05,6.52E-05,0.99
CCNT2,5.07E-05,5.03E-05,0.99
CDC40,0.000111658,0.000110854,0.99
STAT1,0.000376188,0.000373473,0.99
DDX39B,0.000429877,0.000426774,0.99
U2AF2,0.000892066,0.000885625,0.99
ABHD6,2.12E-05,2.11E-05,0.99
RBM5,0.000114919,0.000114087,0.99
TRA2B,0.000270978,0.000269016,0.99
SHKBP1,8.48E-05,8.42E-05,0.99
FAM122A,4.00E-05,3.97E-05,0.99
OFD1,0.000489557,0.000486006,0.99
TJP2,0.000124038,0.000123136,0.99
UBAC2,0.000158636,0.000157475,0.99
GM340,2.04E-05,2.03E-05,0.99
ZFR,0.000164611,0.000163404,0.99
INTS1,0.000135391,0.000134397,0.99
CD74,4.50E-05,4.47E-05,0.99
MAP2K4,0.000119154,0.000118277,0.99
RAB2A,0.000350491,0.000347907,0.99
IKZF5,0.000117733,0.000116862,0.99
THRAP3,0.000320578,0.000318206,0.99
ATP5A1,0.000520368,0.000516514,0.99
MCAT,0.000114645,0.000113796,0.99
PRAF2,5.59E-05,5.55E-05,0.99
PRPF38A,0.000115532,0.000114676,0.99
FUS,0.000753914,0.000748317,0.99
SRSF12,0.000122511,0.0001216,0.99
WDTC1,0.001089186,0.001081058,0.99
BCS1L,6.30E-05,6.25E-05,0.99
NSDHL,4.89E-05,4.85E-05,0.99
MIA3,8.60E-05,8.53E-05,0.99
GNPAT,6.55E-05,6.50E-05,0.99
ZCCHC6,5.82E-05,5.78E-05,0.99
CYB5B,0.000112463,0.000111619,0.99
SPTLC2,4.02E-05,3.99E-05,0.99
STX18,8.79E-05,8.73E-05,0.99
PKM,0.00046687,0.000463351,0.99
ZNF451,7.34E-05,7.28E-05,0.99
ZBTB43,5.86E-05,5.82E-05,0.99
RNF169,6.08E-05,6.03E-05,0.99
SNRNP48,3.17E-05,3.15E-05,0.99
AHCYL1,0.000350499,0.000347835,0.99
TNFAIP3,0.000215791,0.00021415,0.99
BCL10,0.000138204,0.000137151,0.99
AP2B1,0.000308622,0.000306264,0.99
GNPTAB,3.76E-05,3.73E-05,0.99
KCTD20,3.21E-05,3.19E-05,0.99
CCP110,0.000145038,0.000143925,0.99
SNRNP27,0.000312453,0.000310051,0.99
SRSF2,0.000261671,0.000259652,0.99
GCFC2,5.80E-05,5.75E-05,0.99
BAG3,0.000924718,0.000917565,0.99
AKT1S1,5.66E-05,5.62E-05,0.99
PICALM,0.000218942,0.000217242,0.99
CWC15,8.10E-05,8.04E-05,0.99
UBR3,6.38E-05,6.33E-05,0.99
HNRNPA2B1,0.000490637,0.000486803,0.99
ERC1,0.000155906,0.000154683,0.99
NPC2,7.08E-05,7.03E-05,0.99
DET1,6.49E-05,6.44E-05,0.99
ALG5,3.79E-05,3.76E-05,0.99
CCDC94,8.51E-05,8.44E-05,0.99
FBXO38,4.49E-05,4.45E-05,0.99
UBE2D2,0.000503788,0.000499798,0.99
SUFU,6.32E-05,6.27E-05,0.99
TXNL4A,7.35E-05,7.29E-05,0.99
DLG3,0.000131731,0.000130684,0.99
MRM1,0.000119556,0.000118605,0.99
THUMPD1,8.80E-05,8.73E-05,0.99
GPKOW,8.71E-05,8.64E-05,0.99
DIS3,0.000163992,0.000162685,0.99
XPO6,8.76E-05,8.69E-05,0.99
NIPSNAP1,0.000165919,0.000164588,0.99
ZFAND6,5.10E-05,5.06E-05,0.99
BANF1,0.000196298,0.000194717,0.99
GTF3C4,0.000152253,0.000151024,0.99
METTL1,8.97E-05,8.90E-05,0.99
VTI1B,0.000176582,0.000175155,0.99
MED13,0.000102875,0.000102043,0.99
TMEM129,2.92E-05,2.90E-05,0.99
IQCB1,0.000593771,0.000588962,0.99
ZDHHC18,2.25E-05,2.23E-05,0.99
TTC19,8.04E-05,7.97E-05,0.99
VPS35,0.000208016,0.000206322,0.99
SLC25A16,4.50E-05,4.47E-05,0.99
XRCC6,0.000656146,0.000650798,0.99
DEF8,5.91E-05,5.86E-05,0.99
AP4M1,8.00E-05,7.93E-05,0.99
SOD1,0.000757819,0.000751626,0.99
THG1L,8.30E-05,8.24E-05,0.99
SOS2,3.85E-05,3.82E-05,0.99
NFRKB,8.55E-05,8.48E-05,0.99
IKBKG,0.000629249,0.000624052,0.99
EXOC6,8.86E-05,8.79E-05,0.99
OAZ1,5.23E-05,5.18E-05,0.99
RNF114,9.54E-05,9.47E-05,0.99
SPIDR,1.34E-05,1.33E-05,0.99
CDKN2AIPNL,2.90E-05,2.88E-05,0.99
ZRANB2,0.000200389,0.000198721,0.99
SGPL1,0.000107287,0.000106392,0.99
SF1,0.000308359,0.000305775,0.99
CDK8,0.000230985,0.000229043,0.99
IDH3G,9.43E-05,9.35E-05,0.99
PEX26,2.55E-05,2.53E-05,0.99
SRSF11,0.000210784,0.000209005,0.99
TYK2,0.000169404,0.000167975,0.99
DYNC1H1,0.000419448,0.000415896,0.99
TTN,0.000130999,0.00012989,0.99
HSD17B10,0.00060876,0.000603603,0.99
CEP63,0.00022013,0.000218264,0.99
KXD1,9.31E-05,9.23E-05,0.99
RPRD1A,0.000163348,0.000161961,0.99
PMS2,0.000110171,0.000109233,0.99
NCOR1,0.000365102,0.000361994,0.99
TBCD,0.000137597,0.000136425,0.99
LGALS9,0.000188501,0.000186885,0.99
OCRL,9.38E-05,9.30E-05,0.99
FAM208A,0.000124227,0.00012316,0.99
ISCU,6.15E-05,6.10E-05,0.99
RTN4,0.000253665,0.000251485,0.99
PRPF40A,0.000426286,0.000422619,0.99
PML,0.000482787,0.000478633,0.99
CBX4,0.000204969,0.0002032,0.99
SSH3,7.03E-05,6.96E-05,0.99
UCHL3,0.000215171,0.000213312,0.99
DCAF5,9.38E-05,9.30E-05,0.99
NUP107,0.000244325,0.000242207,0.99
INADL,9.62E-05,9.53E-05,0.99
GNG5,7.25E-05,7.19E-05,0.99
ATG101,0.000102583,0.000101685,0.99
SPECC1L,8.86E-05,8.78E-05,0.99
COMMD1,0.000146344,0.000145057,0.99
LEMD3,6.62E-05,6.57E-05,0.99
NUP54,0.000154443,0.000153082,0.99
LONP1,0.000137194,0.000135981,0.99
NPLOC4,0.00024628,0.000244101,0.99
FOPNL,4.53E-05,4.49E-05,0.99
WHSC1L1,0.00010505,0.000104119,0.99
COG3,0.000145425,0.000144136,0.99
PARP12,5.31E-05,5.26E-05,0.99
TOE1,0.000124947,0.000123834,0.99
NUP85,0.000124721,0.000123607,0.99
VDAC2,0.000345869,0.000342778,0.99
TAF8,7.20E-05,7.13E-05,0.99
GOLGB1,8.58E-05,8.50E-05,0.99
TSC2,0.000192313,0.000190585,0.99
RBM14,0.000327066,0.000324123,0.99
CCNL2,9.60E-05,9.52E-05,0.99
RING1,0.000158639,0.000157209,0.99
CEP57L1,0.000112458,0.000111443,0.99
NFU1,3.25E-05,3.23E-05,0.99
NDC1,7.00E-05,6.93E-05,0.99
HTT,0.000495274,0.0004908,0.99
ARFGEF2,9.45E-05,9.37E-05,0.99
IWS1,0.00011311,0.000112085,0.99
NELFB,0.000127737,0.000126578,0.99
HNRNPA3,0.000328524,0.000325544,0.99
USP9X,0.000340585,0.000337492,0.99
SPICE1,0.000276509,0.000273992,0.99
RAB3GAP2,8.28E-05,8.20E-05,0.99
SCYL3,1.83E-05,1.81E-05,0.99
BAD,9.36E-05,9.27E-05,0.99
RAF1,0.000381395,0.000377906,0.99
ABL2,7.48E-05,7.42E-05,0.99
UBE2D1,0.000445896,0.000441794,0.99
JADE1,6.09E-05,6.03E-05,0.99
ZMAT5,7.38E-05,7.31E-05,0.99
VAPA,0.000616112,0.000610432,0.99
CPSF2,0.000147141,0.000145783,0.99
GOLT1B,0.00044044,0.000436369,0.99
FAM118B,8.10E-05,8.03E-05,0.99
SUMO2,0.000444841,0.000440725,0.99
STX8,0.000123574,0.000122431,0.99
SAMD1,0.000108433,0.000107426,0.99
ACTR8,8.20E-05,8.13E-05,0.99
LZTFL1,6.25E-05,6.19E-05,0.99
RANBP10,8.91E-05,8.83E-05,0.99
CNOT7,0.000135616,0.000134355,0.99
PPM1D,0.000101607,0.000100662,0.99
RYBP,0.000135508,0.000134246,0.99
IREB2,5.23E-05,5.18E-05,0.99
SFXN1,0.000182248,0.00018055,0.99
TRRAP,0.000302996,0.000300173,0.99
NRAS,0.000390363,0.000386698,0.99
ATP5O,0.00026031,0.000257859,0.99
CCDC9,6.75E-05,6.69E-05,0.99
PSMD5,0.000210687,0.00020869,0.99
MAPKAPK2,0.000155926,0.000154445,0.99
NISCH,7.30E-05,7.23E-05,0.99
CUX1,0.000101407,0.000100442,0.99
MIPEP,5.82E-05,5.76E-05,0.99
FUT11,2.86E-05,2.83E-05,0.99
SP1,0.000393197,0.000389441,0.99
PKN2,0.000204383,0.00020243,0.99
TMEM161B,2.09E-05,2.07E-05,0.99
CTSG,3.53E-05,3.50E-05,0.99
EPB41L2,0.000147559,0.000146148,0.99
GCLM,7.40E-05,7.32E-05,0.99
STXBP1,0.00013711,0.000135797,0.99
PPME1,0.000245654,0.0002433,0.99
CTDP1,0.000138642,0.000137311,0.99
TERF2,0.000563733,0.000558315,0.99
LRRC40,8.17E-05,8.09E-05,0.99
TFPT,0.000148055,0.00014663,0.99
DPH5,4.94E-05,4.90E-05,0.99
SIRT2,0.000136717,0.0001354,0.99
TRAPPC13,0.000181315,0.000179567,0.99
USP47,0.000224102,0.000221939,0.99
PPTC7,9.25E-05,9.16E-05,0.99
DENND4C,0.000105498,0.000104478,0.99
POGZ,0.000127131,0.000125901,0.99
L3MBTL3,8.83E-05,8.74E-05,0.99
CLOCK,0.000119182,0.000118026,0.99
MTX2,6.61E-05,6.55E-05,0.99
PPP6R1,0.00015141,0.000149932,0.99
MAP3K1,0.00031846,0.00031535,0.99
PFAS,0.000213512,0.000211427,0.99
KIAA0391,5.19E-05,5.14E-05,0.99
RBM22,0.000100104,9.91E-05,0.99
ZGPAT,0.000157508,0.000155965,0.99
LSM7,9.78E-05,9.68E-05,0.99
GPSM2,4.17E-05,4.13E-05,0.99
SYAP1,5.02E-05,4.97E-05,0.99
RPUSD3,6.64E-05,6.57E-05,0.99
TRIP13,0.00025315,0.000250665,0.99
DCAF11,0.000114738,0.000113611,0.99
PRDX3,0.000185361,0.000183527,0.99
NCBP2,0.000119788,0.000118602,0.99
MAP4,0.000185138,0.000183305,0.99
WRAP73,0.000175222,0.000173482,0.99
WDR45B,8.19E-05,8.11E-05,0.99
FARS2,7.26E-05,7.18E-05,0.99
EMD,0.000374676,0.000370953,0.99
PRKCG,0.000107382,0.000106313,0.99
EXOC5,0.000133996,0.000132662,0.99
DIDO1,0.000110969,0.000109865,0.99
ERH,0.000200273,0.000198276,0.99
PRKDC,0.000586228,0.000580373,0.99
FCHO2,5.70E-05,5.65E-05,0.99
GTF3C3,0.000157304,0.000155724,0.99
RAB1B,0.00033262,0.000329278,0.99
MYO6,0.000401463,0.000397426,0.99
SYF2,0.000110351,0.000109239,0.99
TNRC6B,0.000175309,0.000173541,0.99
GIT1,0.000191885,0.00018995,0.99
CPNE7,6.01E-05,5.95E-05,0.99
DLG2,4.94E-05,4.89E-05,0.99
AKT2,0.000166935,0.000165245,0.99
POC1A,0.000217762,0.000215557,0.99
ADSL,0.000236822,0.000234419,0.99
KDM3A,7.93E-05,7.85E-05,0.99
ORMDL1,2.80E-05,2.77E-05,0.99
RIPK2,0.000109664,0.000108547,0.99
TCF20,0.00010115,0.00010012,0.99
NDUFB7,0.00010566,0.000104582,0.99
RPS6KB1,0.000137875,0.000136466,0.99
INTS3,0.000190361,0.000188407,0.99
PPIC,4.16E-05,4.12E-05,0.99
KAT6B,3.36E-05,3.33E-05,0.99
RBM7,0.000142523,0.000141057,0.99
VPS29,0.000257748,0.000255092,0.99
HNRNPH2,0.000272531,0.000269713,0.99
BPTF,9.68E-05,9.58E-05,0.99
ALG9,4.22E-05,4.17E-05,0.99
INTS10,9.25E-05,9.15E-05,0.99
HELQ,3.08E-05,3.05E-05,0.99
MINK1,7.00E-05,6.92E-05,0.99
SNRPA,0.000220876,0.000218581,0.99
CENPJ,0.0002843,0.000281341,0.99
KIF13B,0.00017859,0.000176728,0.99
ARHGAP31,2.21E-05,2.19E-05,0.99
RPAP1,0.000112212,0.00011104,0.99
ZC3H13,0.000146471,0.000144939,0.99
ZNF131,0.000184195,0.000182263,0.99
DVL2,0.000275023,0.000272139,0.99
FAM134C,0.000132584,0.000131191,0.99
SLC25A46,0.000115089,0.00011388,0.99
GPATCH8,0.000109326,0.000108175,0.99
SIN3B,0.000134379,0.000132961,0.99
NLK,0.000108112,0.000106971,0.99
BRD2,0.000107432,0.000106295,0.99
RAB2B,9.93E-05,9.83E-05,0.99
DNAJA4,0.000101233,0.00010016,0.99
SLC30A1,4.46E-05,4.41E-05,0.99
MON2,3.66E-05,3.62E-05,0.99
EIF2D,7.78E-05,7.70E-05,0.99
MAPRE1,0.000337671,0.000334089,0.99
RAD23A,0.000341656,0.000338032,0.99
PADI4,2.44E-05,2.41E-05,0.99
BCL2L11,0.000103013,0.000101919,0.99
DHX38,0.00015373,0.000152097,0.99
MAPKAPK3,7.96E-05,7.87E-05,0.99
PSMD10,0.000206591,0.00020439,0.99
LRRFIP2,9.92E-05,9.81E-05,0.99
KIF3B,5.47E-05,5.42E-05,0.99
SLC25A13,0.000153827,0.000152186,0.99
XPO7,0.000192371,0.000190315,0.99
TMED2,0.000138757,0.000137273,0.99
RAD21,0.000543719,0.000537896,0.99
RFXANK,8.80E-05,8.70E-05,0.99
SRP54,0.000105421,0.000104289,0.99
GOLGA3,8.70E-05,8.60E-05,0.99
MPC2,3.73E-05,3.69E-05,0.99
FLII,0.00017673,0.000174829,0.99
ATP6V0A2,0.000122258,0.00012094,0.99
PSMB9,0.000174952,0.000173065,0.99
SETDB1,0.00030122,0.000297971,0.99
PPP1R13B,7.88E-05,7.80E-05,0.99
WAC,8.74E-05,8.64E-05,0.99
FKBP1A,0.000139824,0.000138305,0.99
HMOX2,0.000127451,0.000126064,0.99
SNRPC,0.000180918,0.000178941,0.99
MRS2,5.08E-05,5.03E-05,0.99
PDIA4,0.000178871,0.000176915,0.99
TBC1D17,8.40E-05,8.31E-05,0.99
SUPT5H,0.000316235,0.000312765,0.99
PTEN,0.000629219,0.000622316,0.99
CTU1,5.45E-05,5.39E-05,0.99
RNF41,0.00025992,0.000257065,0.99
MBD2,0.000130906,0.000129467,0.99
KIF1C,0.00012129,0.000119956,0.99
CEP95,4.30E-05,4.26E-05,0.99
SNAPIN,8.18E-05,8.09E-05,0.99
BUD31,0.000101993,0.000100868,0.99
EXOSC3,0.000106191,0.000105019,0.99
GNPNAT1,5.24E-05,5.18E-05,0.99
BRF1,6.91E-05,6.83E-05,0.99
KIAA0907,5.97E-05,5.90E-05,0.99
DSTYK,8.91E-05,8.81E-05,0.99
BCL2,0.000240853,0.000238188,0.99
DCTN2,0.000295009,0.000291739,0.99
TACC1,9.74E-05,9.63E-05,0.99
TCERG1,0.00020161,0.000199371,0.99
PRPF39,4.99E-05,4.94E-05,0.99
PTPN4,9.80E-05,9.69E-05,0.99
CXXC1,0.000110737,0.000109504,0.99
GOLGA2,0.000628363,0.000621366,0.99
RBM10,0.000211963,0.000209597,0.99
CHD9,4.40E-05,4.36E-05,0.99
ING4,8.97E-05,8.87E-05,0.99
NCKAP5L,0.000135346,0.000133825,0.99
AIFM1,0.000261769,0.000258821,0.99
RAB10,0.000174125,0.000172163,0.99
RAN,0.000366419,0.000362291,0.99
UBE2Z,8.74E-05,8.64E-05,0.99
PRKCA,0.000304915,0.000301472,0.99
CETN2,0.000123485,0.00012209,0.99
TMED7,4.78E-05,4.73E-05,0.99
HNRNPH3,0.000240187,0.000237466,0.99
RAD50,0.00020922,0.000206846,0.99
GOPC,0.00019141,0.000189234,0.99
TRAPPC12,0.000175552,0.000173556,0.99
RABAC1,0.000127576,0.000126125,0.99
SLC4A1AP,8.69E-05,8.59E-05,0.99
MBOAT1,7.81E-05,7.73E-05,0.99
PIGK,4.54E-05,4.48E-05,0.99
ZNF318,6.59E-05,6.51E-05,0.99
PTPN11,0.000345501,0.000341554,0.99
ARNTL,0.000112593,0.000111306,0.99
DUSP3,6.02E-05,5.95E-05,0.99
VPS4B,0.000143125,0.000141489,0.99
SNAP29,0.000151698,0.000149961,0.99
TIMMDC1,0.00014833,0.00014663,0.99
HMGN3,2.11E-05,2.09E-05,0.99
CTTN,0.000264945,0.000261904,0.99
USP30,5.79E-05,5.72E-05,0.99
DHRSX,1.64E-05,1.62E-05,0.99
PXK,5.15E-05,5.09E-05,0.99
UBE3D,4.31E-05,4.26E-05,0.99
PIK3C2A,0.000127618,0.000126137,0.99
WDR41,2.32E-05,2.29E-05,0.99
SMURF2,0.000215202,0.000212702,0.99
SLC30A9,3.01E-05,2.97E-05,0.99
ATM,0.000356615,0.000352471,0.99
ANKRD11,6.57E-05,6.50E-05,0.99
ZNRF1,6.55E-05,6.48E-05,0.99
LYRM4,6.28E-05,6.21E-05,0.99
TRIM21,0.000240995,0.000238186,0.99
RAB3GAP1,9.98E-05,9.86E-05,0.99
PAXBP1,8.38E-05,8.28E-05,0.99
TOP3A,9.85E-05,9.74E-05,0.99
UBE4A,7.58E-05,7.49E-05,0.99
UBXN7,0.000253785,0.000250804,0.99
GTF2B,0.000166619,0.00016466,0.99
MED16,0.000144074,0.00014238,0.99
GTF3C5,9.04E-05,8.93E-05,0.99
ZC3H14,0.000117287,0.000115908,0.99
FAM20B,5.18E-05,5.12E-05,0.99
PNP,0.00011337,0.00011203,0.99
MPRIP,0.000147677,0.000145929,0.99
DIS3L,7.57E-05,7.48E-05,0.99
RTF1,0.000198252,0.000195905,0.99
GIPC1,0.000126698,0.000125193,0.99
DNAJB1,0.000212134,0.000209615,0.99
POMGNT1,3.77E-05,3.73E-05,0.99
BIRC2,0.000287982,0.000284561,0.99
HMGXB4,7.40E-05,7.31E-05,0.99
STK11,0.000253084,0.000250072,0.99
JMJD1C,4.51E-05,4.46E-05,0.99
NR3C1,0.000521382,0.000515159,0.99
YWHAQ,0.000928658,0.000917563,0.99
KAT2B,0.000332888,0.000328905,0.99
MIB1,0.000745575,0.000736634,0.99
PACSIN2,0.000127734,0.000126202,0.99
ANKFY1,0.000111317,0.000109981,0.99
GMPPB,0.000125926,0.000124412,0.99
GGA1,0.000183406,0.0001812,0.99
RAB8A,0.000230294,0.000227519,0.99
TAF15,0.000182368,0.000180158,0.99
APC,0.000383203,0.000378556,0.99
PLD3,6.04E-05,5.97E-05,0.99
PHACTR4,7.03E-05,6.95E-05,0.99
FBRS,5.81E-05,5.74E-05,0.99
VMA21,6.03E-05,5.95E-05,0.99
